ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
1,Afghanistan,AFG,Total natural resources rents (% of GDP),0.5871411,0.8410228,0.6760426,0.5265329,0.4970039,0.482763,0.5972567,0.6596627
2,Albania,ALB,Total natural resources rents (% of GDP),2.0337357,3.4550565,3.5960468,3.5783262,3.5748688,1.821392,1.0442552,1.6065393
3,Algeria,DZA,Total natural resources rents (% of GDP),26.9139154,31.6384583,30.8464042,28.3523672,24.6767638,16.3116061,12.3106753,14.8688979
4,American Samoa,ASM,Total natural resources rents (% of GDP),,,,,,,,
5,Andorra,AND,Total natural resources rents (% of GDP),,,,,,,,
6,Angola,AGO,Total natural resources rents (% of GDP),39.0141728,39.9722885,35.6759104,30.5546636,23.4496757,10.7724038,10.7627454,16.2211043
7,Antigua and Barbuda,ATG,Total natural resources rents (% of GDP),,,,,,,,
8,Arab World,ARB,Total natural resources rents (% of GDP),28.4437594,36.3990633,35.6693112,32.6729628,29.1181504,17.2451713,14.2653411,18.1201056
9,Argentina,ARG,Total natural resources rents (% of GDP),3.466662,3.902869,3.766216,3.3710801,3.043864,1.3562565,1.1448472,1.2989361
10,Armenia,ARM,Total natural resources rents (% of GDP),2.9921286,4.1030219,3.9552114,3.4055881,3.3939111,4.0165034,4.5831663,5.9478614
11,Aruba,ABW,Total natural resources rents (% of GDP),2.36E-03,1.95E-03,1.97E-03,2.26E-03,3.27E-03,2.42E-03,3.36E-03,2.86E-03
12,Australia,AUS,Total natural resources rents (% of GDP),9.7918394,10.7323439,7.6002516,7.6772822,7.3230287,5.2614608,6.1208221,7.1595038
13,Austria,AUT,Total natural resources rents (% of GDP),0.2359365,0.2768629,0.2626061,0.2392904,0.1978086,0.134074,0.1132974,0.1347108
14,Azerbaijan,AZE,Total natural resources rents (% of GDP),32.1771075,35.2263509,31.4614432,27.0275222,23.0699116,14.6040571,15.4294372,21.2490387
15,Bahamas The,BHS,Total natural resources rents (% of GDP),0.0152948,0.0132817,0.0123262,0.0145339,0.0180391,0.0130558,0.0161952,0.0137483
16,Bahrain,BHR,Total natural resources rents (% of GDP),6.0378844,8.2563582,8.9114259,9.3880737,8.6585244,5.1558137,3.206851,3.4711511
17,Bangladesh,BGD,Total natural resources rents (% of GDP),1.1859278,1.7244035,1.6556376,1.2602378,1.1942495,0.9807878,0.661887,0.6339109
18,Barbados,BRB,Total natural resources rents (% of GDP),0.3655409,0.5207944,0.4982318,0.4516828,0.3924378,0.1134669,0.0624096,0.0652415
19,Belarus,BLR,Total natural resources rents (% of GDP),1.3382765,1.7392147,1.8152908,1.4825784,1.3359234,1.133481,1.2827969,1.4988128
20,Belgium,BEL,Total natural resources rents (% of GDP),0.0193046,0.0192967,0.0186392,0.0193501,0.0200144,0.019419,0.0188149,0.0175338
21,Belize,BLZ,Total natural resources rents (% of GDP),5.3052994,6.905592,4.8185136,3.5410704,2.6312983,1.0654675,0.8809989,0.9658631
22,Benin,BEN,Total natural resources rents (% of GDP),3.4262518,3.4826661,3.921211,3.5199258,3.7142931,4.3536686,4.4480663,4.0812136
23,Bermuda,BMU,Total natural resources rents (% of GDP),,,,,,,,
24,Bhutan,BTN,Total natural resources rents (% of GDP),5.2799984,4.9091124,4.2095078,3.4423683,3.432547,4.0796611,4.5018816,3.4110607
25,Bolivia,BOL,Total natural resources rents (% of GDP),10.2378863,14.2590248,12.7669967,12.4968132,11.0317368,5.6773062,4.8716391,7.1710769
26,Bosnia and Herzegovina,BIH,Total natural resources rents (% of GDP),2.6486897,3.6738926,2.3612621,1.9577979,1.3815642,1.0505155,1.1316612,1.3583513
27,Botswana,BWA,Total natural resources rents (% of GDP),4.9379094,3.7065191,3.5968696,3.4892136,2.5303199,1.4123459,1.1618685,0.9092625
28,Brazil,BRA,Total natural resources rents (% of GDP),4.5647968,5.0844023,4.7005631,4.5759049,4.101269,3.1499042,3.0208875,3.4292244
29,British Virgin Islands,VGB,Total natural resources rents (% of GDP),,,,,,,,
30,Brunei Darussalam,BRN,Total natural resources rents (% of GDP),23.525989,29.7052418,26.6361385,22.5152622,22.0355186,19.4805282,15.1630947,17.5468497
31,Bulgaria,BGR,Total natural resources rents (% of GDP),2.5379115,2.8589983,2.3373657,1.7987008,1.5848147,1.5059589,0.8728436,0.9974028
32,Burkina Faso,BFA,Total natural resources rents (% of GDP),13.2720285,16.5954499,16.8322034,15.2477364,15.3606179,17.6049065,18.2143247,18.4015078
33,Burundi,BDI,Total natural resources rents (% of GDP),24.0717327,25.2763049,17.9696908,17.8084702,17.8778508,16.1090466,17.1941835,16.1484524
34,Cabo Verde,CPV,Total natural resources rents (% of GDP),0.4697337,0.4762961,0.5897859,0.5724011,0.6426866,0.8009989,0.805573,0.7164979
35,Cambodia,KHM,Total natural resources rents (% of GDP),2.6959566,3.0505619,2.2939835,1.9029263,2.5487649,1.8318492,1.8667389,1.7596687
36,Cameroon,CMR,Total natural resources rents (% of GDP),7.8932538,8.9670869,9.3207344,8.3921959,8.04355,6.4506095,5.7482498,6.5806844
37,Canada,CAN,Total natural resources rents (% of GDP),2.5769123,3.3354517,2.2279712,2.3858992,2.1026768,0.7720864,1.2316043,1.5252062
38,Caribbean small states,CSS,Total natural resources rents (% of GDP),7.7384273,10.2805165,10.2531863,9.549761,7.5588317,4.6882531,4.3075204,5.042999
39,Cayman Islands,CYM,Total natural resources rents (% of GDP),,,,,,,,
40,Central African Republic,CAF,Total natural resources rents (% of GDP),7.9434025,8.4890325,9.2112766,12.9636235,11.3728395,13.4576521,13.0202911,12.8463408
41,Central Europe and the Baltics,CEB,Total natural resources rents (% of GDP),1.2541561,1.5477392,1.2563242,0.9680254,0.8305809,0.6846316,0.6075151,0.7158336
42,Chad,TCD,Total natural resources rents (% of GDP),24.7670227,30.710751,28.5937729,22.7229501,20.2001741,13.3602826,13.2781643,21.5451337
43,Channel Islands,CHI,Total natural resources rents (% of GDP),,,,,,,,
44,Chile,CHL,Total natural resources rents (% of GDP),18.1042532,18.5501577,16.3383611,15.0915424,14.7259328,12.2241605,10.3234506,11.7595139
45,China,CHN,Total natural resources rents (% of GDP),6.3776279,8.0065487,4.1610275,3.0927128,2.4462528,1.3574219,1.2562677,1.4755896
46,Colombia,COL,Total natural resources rents (% of GDP),6.6232296,9.601171,8.2327945,7.3471367,6.5762217,4.1088107,3.3798016,4.1938207
47,Comoros,COM,Total natural resources rents (% of GDP),1.5937755,1.6337958,1.9144474,1.8155541,1.9809393,2.5146292,2.5007422,2.3398224
48,Congo Dem. Rep.,COD,Total natural resources rents (% of GDP),32.4584015,37.2934205,36.8478241,37.7621783,36.4819543,31.1960017,29.4793444,34.7893301
49,Congo Rep.,COG,Total natural resources rents (% of GDP),50.4985288,59.205813,56.7172573,45.383316,40.0242698,24.8190242,20.2182575,39.9998409
50,Costa Rica,CRI,Total natural resources rents (% of GDP),1.6468546,1.2555704,1.2031765,1.2532253,1.3758906,1.0975374,1.2088724,1.0321869
51,Cote d'Ivoire,CIV,Total natural resources rents (% of GDP),6.8591264,9.2366779,8.7712905,6.9060307,6.0681475,4.0358828,3.9248079,2.3546989
52,Croatia,HRV,Total natural resources rents (% of GDP),1.0550989,1.3915206,1.3111333,1.163929,0.9059863,0.6934447,0.5827732,0.7127267
53,Cuba,CUB,Total natural resources rents (% of GDP),3.073062,3.6536939,2.8233852,2.271408,2.0941285,0.8795077,0.5012666,0.5585173
54,Curacao,CUW,Total natural resources rents (% of GDP),,,,,,,,
55,Cyprus,CYP,Total natural resources rents (% of GDP),0.060287,0.0939907,0.1078628,0.0851014,0.069014,0.0430321,1.22E-03,7.58E-03
56,Czech Republic,CZE,Total natural resources rents (% of GDP),0.8987942,1.0525155,0.6118827,0.3548993,0.3281408,0.3076691,0.3070145,0.3336809
57,Denmark,DNK,Total natural resources rents (% of GDP),1.4120037,1.7736617,1.6659281,1.2545291,1.0180981,0.5304979,0.3608682,0.5123589
58,Djibouti,DJI,Total natural resources rents (% of GDP),0.8381562,0.8884635,0.8937748,0.5226158,0.7889976,0.6610108,0.484685,0.5732054
59,Dominica,DMA,Total natural resources rents (% of GDP),0.0491549,0.0412283,0.0413323,0.0491938,0.0651452,0.0474677,0.0602344,0.0560951
60,Dominican Republic,DOM,Total natural resources rents (% of GDP),0.1931569,0.8586958,0.9267505,1.7159508,1.5962112,1.2503512,1.6607807,1.4222662
61,Early-demographic dividend,EAR,Total natural resources rents (% of GDP),9.2735085,11.9059408,11.0914594,10.0641409,8.580705,4.9024471,4.1865952,5.0404118
62,East Asia & Pacific,EAS,Total natural resources rents (% of GDP),3.6928792,4.7263138,2.9716204,2.614341,2.2592783,1.4432312,1.3133851,1.5520395
63,East Asia & Pacific (excluding high income),EAP,Total natural resources rents (% of GDP),6.4363455,7.9932797,4.6394141,3.6067558,2.9825342,1.7925595,1.6061292,1.8478551
64,East Asia & Pacific (IDA & IBRD countries),TEA,Total natural resources rents (% of GDP),6.4367176,7.9936435,4.6396247,3.6069066,2.9826474,1.7926254,1.6061824,1.8479068
65,Ecuador,ECU,Total natural resources rents (% of GDP),11.669848,16.1095478,14.3109575,13.138904,11.5956914,4.8625504,3.7237643,5.4521547
66,Egypt Arab Rep.,EGY,Total natural resources rents (% of GDP),9.3826245,12.755677,11.1775995,10.1794513,8.7017222,4.1270644,3.0479763,5.4152211
67,El Salvador,SLV,Total natural resources rents (% of GDP),1.0287377,0.8189425,0.769155,0.8773463,1.0547899,0.8294585,1.001945,0.8309519
68,Equatorial Guinea,GNQ,Total natural resources rents (% of GDP),39.2529635,41.1803535,42.4018377,36.2933043,30.9082071,18.9208683,16.1266891,24.8223436
69,Eritrea,ERI,Total natural resources rents (% of GDP),2.5717209,24.1294173,,,,,,
70,Estonia,EST,Total natural resources rents (% of GDP),1.9020344,2.5761999,2.1281091,1.5949117,1.4213119,1.1184158,1.1254611,1.167627
71,Eswatini,SWZ,Total natural resources rents (% of GDP),2.1986696,2.301403,4.5474034,5.5852462,3.6459136,3.1572955,4.2094533,3.5571241
72,Ethiopia,ETH,Total natural resources rents (% of GDP),16.1464727,17.975268,15.4956703,14.4108161,13.7486823,12.5192074,11.4329165,10.1491028
73,Euro area,EMU,Total natural resources rents (% of GDP),0.1973451,0.2424375,0.2332102,0.2079536,0.162728,0.1158149,0.0928948,0.1095377
74,Europe & Central Asia,ECS,Total natural resources rents (% of GDP),2.1171436,2.7942362,2.7007934,2.3560169,1.9590047,1.2063441,0.9698686,1.3670371
75,Europe & Central Asia (excluding high income),ECA,Total natural resources rents (% of GDP),11.3194755,13.6752097,12.1598321,10.5752912,9.6055073,6.589788,5.552565,7.4891308
