ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
1,Afghanistan,AFG,Population male (% of total population),51.1752424,51.184217,51.2328884,51.2999297,51.3586757,51.3929506,51.4003324,51.3883843
2,Albania,ALB,Population male (% of total population),50.3749454,50.4697977,50.5890516,50.7154792,50.8266216,50.9062025,50.9470013,50.9536022
3,Algeria,DZA,Population male (% of total population),50.4798408,50.4770462,50.4804568,50.4878024,50.4960604,50.5031235,50.5084954,50.5126196
4,American Samoa,ASM,Population male (% of total population),,,,,,,,
5,Andorra,AND,Population male (% of total population),,,,,,,,
6,Angola,AGO,Population male (% of total population),49.4483425,49.4405355,49.4407722,49.4461363,49.4528998,49.4586718,49.4629935,49.4665234
7,Antigua and Barbuda,ATG,Population male (% of total population),47.8450528,47.9137255,47.9752674,48.0286308,48.078045,48.1217471,48.1570038,48.1907257
8,Arab World,ARB,Population male (% of total population),51.6701052,51.7054726,51.7210492,51.7252205,51.7291267,51.7398689,51.759588,51.7847569
9,Argentina,ARG,Population male (% of total population),48.6572578,48.6715491,48.6857921,48.6998091,48.7134145,48.7265172,48.7390257,48.7510101
10,Armenia,ARM,Population male (% of total population),46.7919386,46.8058804,46.8496196,46.9099353,46.9680879,47.0109473,47.0349066,47.0445251
11,Aruba,ABW,Population male (% of total population),47.6712733,47.6707496,47.6478331,47.6082005,47.5716929,47.534479,47.5096553,47.4872106
12,Australia,AUS,Population male (% of total population),50.0091561,49.987723,49.9496834,49.9035516,49.8608094,49.8291257,49.8105282,49.8020409
13,Austria,AUT,Population male (% of total population),48.7356576,48.770054,48.807113,48.8488511,48.8978498,48.9551679,49.0219046,49.0956929
14,Azerbaijan,AZE,Population male (% of total population),49.5445042,49.5915333,49.6361236,49.6790091,49.7209755,49.7624637,49.8039295,49.8449212
15,Bahamas The,BHS,Population male (% of total population),48.4614128,48.4647495,48.4772307,48.4952147,48.5153457,48.5323357,48.5487785,48.5617513
16,Bahrain,BHR,Population male (% of total population),62.380003,62.2802591,62.0050741,61.699704,61.5640014,61.7235229,62.2066457,62.9050578
17,Bangladesh,BGD,Population male (% of total population),50.8321002,50.7858929,50.755618,50.7357188,50.71806,50.6969406,50.6711949,50.6427371
18,Barbados,BRB,Population male (% of total population),47.9869281,48.0152799,48.0581463,48.1082963,48.159045,48.2071448,48.2515623,48.2910537
19,Belarus,BLR,Population male (% of total population),46.4911169,46.4846958,46.4909003,46.504983,46.5204731,46.5326168,46.5394609,46.5424186
20,Belgium,BEL,Population male (% of total population),49.1095268,49.1078241,49.1021533,49.1013365,49.116723,49.1554564,49.2213376,49.3093545
21,Belize,BLZ,Population male (% of total population),50.0296156,49.9990916,49.9752959,49.955309,49.9332137,49.9091227,49.8785284,49.842592
22,Benin,BEN,Population male (% of total population),49.6652663,49.6955077,49.729969,49.7660975,49.8005947,49.8312305,49.8577364,49.8809953
23,Bermuda,BMU,Population male (% of total population),,,,,,,,
24,Bhutan,BTN,Population male (% of total population),52.5283661,52.5486191,52.5848725,52.633565,52.6927779,52.7580593,52.8311158,52.9128994
25,Bolivia,BOL,Population male (% of total population),50.3165765,50.3079472,50.298482,50.2879095,50.2760982,50.2629136,50.2484268,50.2328316
26,Bosnia and Herzegovina,BIH,Population male (% of total population),49.1039753,49.0924357,49.0779679,49.0611975,49.0440268,49.0278658,49.013411,49.0006069
27,Botswana,BWA,Population male (% of total population),48.9085132,48.7955777,48.6197207,48.4203785,48.2529844,48.1543026,48.1365788,48.1828744
28,Brazil,BRA,Population male (% of total population),49.3252644,49.3053248,49.2857974,49.2665385,49.2473408,49.2280775,49.2087157,49.1893406
29,British Virgin Islands,VGB,Population male (% of total population),,,,,,,,
30,Brunei Darussalam,BRN,Population male (% of total population),51.6473083,51.7525344,51.8475076,51.9262439,51.9847332,52.0175265,52.0201719,51.9995006
31,Bulgaria,BGR,Population male (% of total population),48.6953083,48.6917529,48.6823097,48.668261,48.6520598,48.6355686,48.6190336,48.6021306
32,Burkina Faso,BFA,Population male (% of total population),49.583559,49.6299974,49.674756,49.7177819,49.7589934,49.798262,49.835571,49.8709441
33,Burundi,BDI,Population male (% of total population),49.4242247,49.4446668,49.4625239,49.4792408,49.4963939,49.5149426,49.5352404,49.5565812
34,Cabo Verde,CPV,Population male (% of total population),49.9480355,50.0677548,50.1240002,50.1346387,50.1313972,50.1333994,50.1466657,50.1630701
35,Cambodia,KHM,Population male (% of total population),48.7140172,48.7366744,48.7509518,48.7595175,48.7662842,48.774105,48.783138,48.7924573
36,Cameroon,CMR,Population male (% of total population),49.9172813,49.9289308,49.9383927,49.9466737,49.9550456,49.9643409,49.9746662,49.985598
37,Canada,CAN,Population male (% of total population),49.6135157,49.6102626,49.6029083,49.594191,49.5876946,49.5858734,49.589434,49.5974378
38,Caribbean small states,CSS,Population male (% of total population),49.5969611,49.6017773,49.6071721,49.6122483,49.616254,49.6188674,49.6194233,49.6179603
39,Cayman Islands,CYM,Population male (% of total population),,,,,,,,
40,Central African Republic,CAF,Population male (% of total population),49.5043842,49.5168988,49.5284589,49.5388545,49.5477436,49.5544238,49.5591252,49.561893
