ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
1,Afghanistan,AFG,GDP,15856574731,17804292964,20001598506,20561069558,20484885120,19907111419,19362642267,20191760000
2,Albania,ALB,GDP,11926928506,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451
3,Algeria,DZA,GDP,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11,1.60E+11,1.67E+11
4,American Samoa,ASM,GDP,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000
5,Andorra,AND,GDP,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750
6,Angola,AGO,GDP,83799496611,1.12E+11,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11
7,Antigua and Barbuda,ATG,GDP,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778
8,Arab World,ARB,GDP,2.11E+12,2.49E+12,2.77E+12,2.86E+12,2.89E+12,2.53E+12,2.46E+12,2.51E+12
9,Argentina,ARG,GDP,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.43E+11
10,Armenia,ARM,GDP,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566
11,Aruba,ABW,GDP,2390502793,2549720670,2534636872,2701675978,2765363128,2919553073,2965921788,3056424581
12,Australia,AUS,GDP,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12
13,Austria,AUT,GDP,3.92E+11,4.31E+11,4.09E+11,4.30E+11,4.42E+11,3.82E+11,3.95E+11,4.18E+11
14,Azerbaijan,AZE,GDP,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912
15,Bahamas The,BHS,GDP,10095760000,10070450000,10720500000,10562700000,10913300000,11752300000,11938400000,12150400000
16,Bahrain,BHR,GDP,25713271277,28776595745,30749308511,32539468085,33387712766,31125851064,32250132979,35423643617
17,Bangladesh,BGD,GDP,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.21E+11,2.50E+11
18,Barbados,BRB,GDP,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000
19,Belarus,BLR,GDP,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249
20,Belgium,BEL,GDP,4.81E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.04E+11
21,Belize,BLZ,GDP,1377200000,1460800000,1522900000,1579400000,1662800000,1723800000,1775100000,1836600000
22,Benin,BEN,GDP,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701656931
23,Bermuda,BMU,GDP,5744414000,5550771000,5537537000,5573710000,,,,
24,Bhutan,BTN,GDP,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928
25,Bolivia,BOL,GDP,19649631451,23963033588,27084497540,30659338784,32996188133,33000198263,33941126194,37508642113
26,Bosnia and Herzegovina,BIH,GDP,17176781337,18644723861,17226849297,18178503835,18558343508,16211541253,16913330694,18080118128
27,Botswana,BWA,GDP,12786654366,15351972230,14420393564,14901750765,16250750259,14420604206,15646316818,17405538618
28,Brazil,BRA,GDP,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12
29,British Virgin Islands,VGB,GDP,,,,,,,,
30,Brunei Darussalam,BRN,GDP,13707370737,18525319978,19047940300,18093829923,17098342541,12930394938,11400854268,12128104859
31,Bulgaria,BGR,GDP,50363282117,57363610380,54013812089,55591336862,56883172568,50630703922,53785050339,58950125036
