ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
1,Afghanistan,AFG,Unemployment total (% of total labor force),11.4840002,11.4879999,11.5080004,11.5340004,11.448,11.3870001,11.3129997,11.184
2,Albania,ALB,Unemployment total (% of total labor force),14.0860004,13.481,13.3760004,15.8660002,17.4899998,17.0799999,15.2200003,13.75
3,Algeria,DZA,Unemployment total (% of total labor force),9.96,9.96,10.9700003,9.8199997,10.2069998,11.2060003,10.2019997,11.9960003
4,American Samoa,ASM,Unemployment total (% of total labor force),,,,,,,,
5,Andorra,AND,Unemployment total (% of total labor force),,,,,,,,
6,Angola,AGO,Unemployment total (% of total labor force),9.4300003,7.362,7.3790002,7.4000001,7.3309999,7.2820001,7.2230001,7.119
7,Antigua and Barbuda,ATG,Unemployment total (% of total labor force),,,,,,,,
8,Arab World,ARB,Unemployment total (% of total labor force),9.248135,10.2846891,10.4907725,10.5741311,10.6546268,10.6753197,10.4509449,10.6413132
9,Argentina,ARG,Unemployment total (% of total labor force),7.7140002,7.1799998,7.217,7.0999999,7.2680001,7.75,7.9770002,8.3470001
10,Armenia,ARM,Unemployment total (% of total labor force),19.0079994,18.4430008,17.3010006,16.1790009,17.4979992,18.2609997,17.6170006,17.7049999
11,Aruba,ABW,Unemployment total (% of total labor force),,,,,,,,
12,Australia,AUS,Unemployment total (% of total labor force),5.211,5.0809999,5.224,5.6620002,6.0770001,6.0539999,5.71,5.5910001
13,Austria,AUT,Unemployment total (% of total labor force),4.8200002,4.5640001,4.8649998,5.335,5.6199999,5.7230001,6.0139999,5.4990001
14,Azerbaijan,AZE,Unemployment total (% of total labor force),5.6300001,5.4200001,5.1900001,4.9699998,4.9099998,4.96,5,5
15,Bahamas The,BHS,Unemployment total (% of total labor force),14.8360004,14.5200005,14.0200005,16.1800003,13.8000002,12,12.6999998,9.8000002
16,Bahrain,BHR,Unemployment total (% of total labor force),1.13,1.274,1.2,1.323,1.17,1.13,0.919,0.701
17,Bangladesh,BGD,Unemployment total (% of total labor force),3.3789999,3.7049999,4.0549998,4.4260001,4.395,4.3779998,4.3499999,4.3720002
18,Barbados,BRB,Unemployment total (% of total labor force),10.6899996,11.1899996,11.5900002,11.5500002,12.1700001,11.3500004,9.7200003,9.7609997
19,Belarus,BLR,Unemployment total (% of total labor force),6.1259999,6.0980001,6.0780001,6.0630002,5.9809999,5.914,5.8400002,5.6500001
20,Belgium,BEL,Unemployment total (% of total labor force),8.2919998,7.1399999,7.5419998,8.4250002,8.5229998,8.4820004,7.8299999,7.086
21,Belize,BLZ,Unemployment total (% of total labor force),8.4799995,8.4259996,8.3850002,8.349,8.2440004,7.5780001,7,6.5949998
22,Benin,BEN,Unemployment total (% of total labor force),1.04,2.6459999,2.6600001,2.677,2.6210001,2.582,2.5369999,2.4590001
23,Bermuda,BMU,Unemployment total (% of total labor force),,,,,,,,
24,Bhutan,BTN,Unemployment total (% of total labor force),3.3199999,3.23,2.05,2.8699999,2.6300001,2.45,2.4159999,2.358
25,Bolivia,BOL,Unemployment total (% of total labor force),2.552,2.2190001,2.0480001,2.3940001,2.007,3.066,3.5250001,3.6700001
26,Bosnia and Herzegovina,BIH,Unemployment total (% of total labor force),27.3120003,27.5820007,28.0100002,27.4500008,27.5170002,27.6940002,25.408001,20.5270004
27,Botswana,BWA,Unemployment total (% of total labor force),17.8600006,17.8649998,17.8889999,17.9209995,17.8190002,17.7469997,17.6590004,17.5049992
28,Brazil,BRA,Unemployment total (% of total labor force),7.7360001,6.9169998,7.1859999,6.9759998,6.6609998,8.427,11.6000004,12.8219996
29,British Virgin Islands,VGB,Unemployment total (% of total labor force),,,,,,,,
30,Brunei Darussalam,BRN,Unemployment total (% of total labor force),6.743,6.6939998,6.9050002,7.1259999,6.9650002,7.914,8.7110004,9.316
31,Bulgaria,BGR,Unemployment total (% of total labor force),10.2790003,11.2600002,12.2700005,12.941,11.4239998,9.1429996,7.5749998,6.164
32,Burkina Faso,BFA,Unemployment total (% of total labor force),4.717,5.1430001,5.6009998,6.0869999,6.4790001,6.4180002,6.3439999,6.2160001
33,Burundi,BDI,Unemployment total (% of total labor force),1.76,1.715,1.678,1.6440001,1.572,1.552,1.528,1.487
34,Cabo Verde,CPV,Unemployment total (% of total labor force),10.6700001,10.9350004,11.2180004,11.5109997,11.698,11.9090004,12.106,12.2399998
35,Cambodia,KHM,Unemployment total (% of total labor force),0.771,0.577,0.505,0.438,0.692,0.393,0.716,0.683
36,Cameroon,CMR,Unemployment total (% of total labor force),4.1100001,3.9690001,3.8369999,3.711,3.5339999,3.506,3.4719999,3.414
37,Canada,CAN,Unemployment total (% of total labor force),8.0559998,7.5110002,7.2919998,7.0739999,6.914,6.9060001,6.9990001,6.3400002
38,Caribbean small states,CSS,Unemployment total (% of total labor force),10.2689752,10.4140869,11.0101146,11.5431233,10.765926,10.5639744,10.4834364,9.5534561
39,Cayman Islands,CYM,Unemployment total (% of total labor force),,,,,,,,
40,Central African Republic,CAF,Unemployment total (% of total labor force),3.927,3.9289999,3.9400001,3.9560001,3.902,3.8640001,3.819,3.74
41,Central Europe and the Baltics,CEB,Unemployment total (% of total labor force),9.8999886,9.7893575,9.9777122,10.0446735,8.9498073,7.8147812,6.4876622,5.2933379
42,Chad,TCD,Unemployment total (% of total labor force),1.5700001,1.633,1.704,1.781,1.801,1.8329999,1.8559999,1.8480001
43,Channel Islands,CHI,Unemployment total (% of total labor force),8.3979998,8.3780003,8.4639997,8.5209999,8.2919998,8.0839996,7.8579998,7.6220002
44,Chile,CHL,Unemployment total (% of total labor force),8.4239998,7.3439999,6.6589999,6.2140002,6.665,6.5079999,6.7379999,6.9580002
45,China,CHN,Unemployment total (% of total labor force),4.526,4.5479999,4.5700002,4.5900002,4.6090002,4.6290002,4.5349998,4.441
46,Colombia,COL,Unemployment total (% of total labor force),10.9840002,10.1110001,9.7399998,9.052,8.5719996,8.2989998,8.6920004,8.8719997
47,Comoros,COM,Unemployment total (% of total labor force),4.5479999,4.5510001,4.5630002,4.579,4.5279999,4.493,4.4499998,4.375
48,Congo Dem. Rep.,COD,Unemployment total (% of total labor force),3.977,4.2220001,4.4850001,4.5029998,4.4450002,4.4060001,4.3569999,4.2729998
49,Congo Rep.,COG,Unemployment total (% of total labor force),13.9720001,11.8970003,10,10.0200005,9.9560003,9.9119997,9.8579998,9.7629995
50,Costa Rica,CRI,Unemployment total (% of total labor force),7.171,10.1389999,9.7840004,8.7679996,9.059,8.9989996,8.5979996,8.1420002
51,Cote d'Ivoire,CIV,Unemployment total (% of total labor force),6.7049999,6.954,7.2230001,4.2540002,3.6470001,3.102,2.599,3.273
52,Croatia,HRV,Unemployment total (% of total labor force),11.6199999,13.6780005,15.9350004,17.2509995,17.2900009,16.1749992,13.1029997,11.2080002
53,Cuba,CUB,Unemployment total (% of total labor force),2.5,3.1800001,3.46,3.29,2.7,2.4000001,2,1.7
54,Curacao,CUW,Unemployment total (% of total labor force),,,,,,,,
55,Cyprus,CYP,Unemployment total (% of total labor force),6.263,7.8559999,11.7950001,15.8710003,16.0879993,14.908,12.9499998,11.0520001
56,Czech Republic,CZE,Unemployment total (% of total labor force),7.2789998,6.711,6.9780002,6.9530001,6.1079998,5.046,3.951,2.8900001
57,Denmark,DNK,Unemployment total (% of total labor force),7.4640002,7.573,7.526,6.9970002,6.5890002,6.1680002,6.1810002,5.743
58,Djibouti,DJI,Unemployment total (% of total labor force),10.6809998,10.6850004,10.7040005,10.7290001,10.6440001,10.5839996,10.5100002,10.382
59,Dominica,DMA,Unemployment total (% of total labor force),,,,,,,,
60,Dominican Republic,DOM,Unemployment total (% of total labor force),5.2119999,6.0869999,6.7220001,7.3520002,6.7189999,7.605,7.283,5.8319998
61,Early-demographic dividend,EAR,Unemployment total (% of total labor force),5.7206517,5.6666407,5.6445838,5.7191292,5.6402191,5.7773757,5.7809856,5.7097089
62,East Asia & Pacific,EAS,Unemployment total (% of total labor force),4.2172449,4.1597976,4.0748604,4.0701149,4.0392671,4.0791627,3.986543,3.8999112
63,East Asia & Pacific (excluding high income),EAP,Unemployment total (% of total labor force),4.1465445,4.1390064,4.0627939,4.0742678,4.0541178,4.1105096,4.0244625,3.9501316
64,East Asia & Pacific (IDA & IBRD countries),TEA,Unemployment total (% of total labor force),4.1637879,4.1561315,4.0787135,4.090211,4.0704985,4.1282632,4.0416249,3.9673007
65,Ecuador,ECU,Unemployment total (% of total labor force),4.0879998,3.4579999,3.2349999,3.0829999,3.48,3.6159999,4.5970001,3.836
66,Egypt Arab Rep.,EGY,Unemployment total (% of total labor force),8.757,11.849,12.5970001,13.1540003,13.1049995,13.0520001,12.4069996,11.7370005
67,El Salvador,SLV,Unemployment total (% of total labor force),4.8930001,4.2969999,3.8429999,3.6930001,4.1539998,3.9979999,4.4180002,4.3850002
68,Equatorial Guinea,GNQ,Unemployment total (% of total labor force),6.7230001,6.7259998,6.7410002,6.7610002,6.6919999,6.6440001,6.585,6.4829998
69,Eritrea,ERI,Unemployment total (% of total labor force),5.4099998,5.4120002,5.4260001,5.4439998,5.382,5.3379998,5.2849998,5.1929998
70,Estonia,EST,Unemployment total (% of total labor force),16.7070007,12.3280001,10.0209999,8.6309996,7.3520002,6.1869998,6.7620001,5.7600002
71,Eswatini,SWZ,Unemployment total (% of total labor force),26.9179993,26.2420006,25.5979996,24.9710007,24.1870003,23.4549999,22.7180004,22.5380001
72,Ethiopia,ETH,Unemployment total (% of total labor force),2.3380001,2.3039999,2.276,2.2509999,2.2179999,2.1949999,2.168,2.1199999
73,Euro area,EMU,Unemployment total (% of total labor force),10.0703084,10.1107237,11.2886564,11.9286588,11.6048664,10.8397461,10.0274041,9.0601174
74,Europe & Central Asia,ECS,Unemployment total (% of total labor force),9.0155595,8.7607025,8.971102,9.2028828,8.9573355,8.5582209,8.0961019,7.4918774
75,Europe & Central Asia (excluding high income),ECA,Unemployment total (% of total labor force),8.5124861,7.8539379,7.2537583,7.2710944,7.4866578,7.6108071,7.6242357,7.4195528
76,Europe & Central Asia (IDA & IBRD countries),TEC,Unemployment total (% of total labor force),8.5695172,8.0326878,7.5602552,7.6186463,7.6767389,7.6434148,7.4716839,7.1254507
77,European Union,EUU,Unemployment total (% of total labor force),9.795711,9.8361407,10.8026059,11.3230984,10.8433454,10.0237391,9.1247852,8.135618
78,Faroe Islands,FRO,Unemployment total (% of total labor force),,,,,,,,
79,Fiji,FJI,Unemployment total (% of total labor force),4.3200002,4.4050002,4.4229999,4.4450002,4.3959999,4.3629999,4.3189998,4.237
80,Finland,FIN,Unemployment total (% of total labor force),8.3940001,7.7810001,7.6890001,8.1929998,8.6630001,9.3760004,8.8179998,8.6400003
81,Fragile and conflict affected situations,FCS,Unemployment total (% of total labor force),5.5829564,5.6377017,5.6684975,5.8249361,6.0329975,6.0198614,6.6469395,7.0105015
82,France,FRA,Unemployment total (% of total labor force),8.8710003,8.8109999,9.3999996,9.9209995,10.2919998,10.3590002,10.0570002,9.3970003
83,French Polynesia,PYF,Unemployment total (% of total labor force),14.3190002,14.3140001,14.5819998,14.8039999,14.2939997,13.7449999,13.2559996,12.7740002
84,Gabon,GAB,Unemployment total (% of total labor force),20.3899994,20.3959999,20.4239998,20.4599991,20.3430004,20.2600002,20.1590004,19.9820004
85,Gambia The,GMB,Unemployment total (% of total labor force),9.3950005,9.3990002,9.4169998,9.441,9.3649998,9.3129997,9.2489996,9.1359997
86,Georgia,GEO,Unemployment total (% of total labor force),20.2029991,19.632,19.6529999,19.4160004,17.4379997,16.5060005,16.6040001,13.9390001
87,Germany,DEU,Unemployment total (% of total labor force),6.9660001,5.8239999,5.3790002,5.2309999,4.9809999,4.6240001,4.1220002,3.7460001
88,Ghana,GHA,Unemployment total (% of total labor force),5.3200002,5.619,5.9369998,6.2690001,6.527,6.8060002,5.4499998,4.2230001
89,Gibraltar,GIB,Unemployment total (% of total labor force),,,,,,,,
90,Greece,GRC,Unemployment total (% of total labor force),12.7130003,17.8649998,24.4389992,27.4659996,26.4909992,24.8969994,23.5389996,21.4880009
91,Greenland,GRL,Unemployment total (% of total labor force),,,,,,,,
92,Grenada,GRD,Unemployment total (% of total labor force),,,,,,,,
93,Guam,GUM,Unemployment total (% of total labor force),8.1999998,13.3000002,12.1999998,11.5,7.5999999,6.9000001,5.4000001,5.1539998
94,Guatemala,GTM,Unemployment total (% of total labor force),3.497,3.1159999,2.7650001,3.017,2.717,2.506,2.5829999,2.4619999
95,Guinea,GIN,Unemployment total (% of total labor force),4.487,4.4899998,4.5019999,4.5180001,4.4679999,4.434,4.3920002,4.3179998
96,Guinea-Bissau,GNB,Unemployment total (% of total labor force),2.6559999,2.658,2.668,2.6800001,2.635,2.6040001,2.566,2.5
97,Guyana,GUY,Unemployment total (% of total labor force),11.4540005,11.5869999,11.7379999,11.8959999,11.9370003,12.0039997,12.0550003,12.0439997
98,Haiti,HTI,Unemployment total (% of total labor force),15.3789997,14.7229996,14.1000004,14.1300001,14.033,13.9650002,13.8809996,13.7349997
99,Heavily indebted poor countries (HIPC),HPC,Unemployment total (% of total labor force),4.9873171,4.9414569,4.8001389,4.683265,4.5930163,4.6549,4.5776393,4.4749791
100,High income,HIC,Unemployment total (% of total labor force),8.2036823,7.8767555,7.9087316,7.8279185,7.2268901,6.6234202,6.1454074,5.5834613
101,Honduras,HND,Unemployment total (% of total labor force),4.119,4.474,3.7539999,4.0960002,5.4879999,6.1469998,6.7270002,5.5279999
102,Hong Kong SAR China,HKG,Unemployment total (% of total labor force),4.3099999,3.4200001,3.29,3.4000001,3.3,3.3199999,3.3900001,3.0899999
103,Hungary,HUN,Unemployment total (% of total labor force),11.1719999,11.0290003,11.0030003,10.1759996,7.7249999,6.8130002,5.1149998,4.1560001
104,IBRD only,IBD,Unemployment total (% of total labor force),5.8219935,5.7335595,5.6661851,5.6631956,5.63752,5.7585501,5.8634942,5.8258385
105,Iceland,ISL,Unemployment total (% of total labor force),7.5640001,7.0279999,6,5.3759999,4.8969998,3.9790001,2.9779999,2.7420001
106,IDA & IBRD total,IBT,Unemployment total (% of total labor force),5.4647128,5.3945952,5.3518125,5.3720102,5.3295998,5.4591867,5.591848,5.5832985
